"SiteID","q0_richness","q1_shannon","q2_simpson","total_abundance","StationID","BenSampID","Year","Season"
"2-JKS023.61_FAMJKS10207",12,5.42080135737538,4.2128391287734,105,"2-JKS023.61","FAMJKS10207",2002,"Spring"
"2-JKS023.61_FAMJKS1028",5,2.9953784753492,2.6,104,"2-JKS023.61","FAMJKS1028",1997,"Fall"
"2-JKS023.61_FAMJKS1172",7,2.79305474522144,2.14974670719352,103,"2-JKS023.61","FAMJKS1172",1998,"Spring"
"2-JKS023.61_FAMJKS1331",6,4.85370265963961,4.24362553508282,151,"2-JKS023.61","FAMJKS1331",1998,"Fall"
"2-JKS023.61_FAMJKS1387",10,6.51224130342534,4.9581511555278,126,"2-JKS023.61","FAMJKS1387",1999,"Spring"
"2-JKS023.61_FAMJKS1477",8,5.88578229771756,4.71561771561772,119,"2-JKS023.61","FAMJKS1477",1999,"Fall"
"2-JKS023.61_FAMJKS1484",7,4.96355159133199,4.29305680793508,69,"2-JKS023.61","FAMJKS1484",2000,"Spring"
"2-JKS023.61_FAMJKS1558",8,2.57288943424336,1.68365919146844,211,"2-JKS023.61","FAMJKS1558",2000,"Fall"
"2-JKS023.61_FAMJKS1600",9,5.13257808478688,4.20102483247931,146,"2-JKS023.61","FAMJKS1600",2001,"Spring"
"2-JKS023.61_FAMJKS1667",8,5.41044409153669,4.61374943464496,101,"2-JKS023.61","FAMJKS1667",2001,"Outside Sample Window"
"2-JKS023.61_FAMJKS192",5,2.59187997684841,2.01805980459884,143,"2-JKS023.61","FAMJKS192",1995,"Spring"
"2-JKS023.61_FAMJKS2",11,6.10110124683723,4.56490322580645,133,"2-JKS023.61","FAMJKS2",1994,"Fall"
"2-JKS023.61_FAMJKS2972",17,3.81431153006395,2.04862306368331,138,"2-JKS023.61","FAMJKS2972",2003,"Fall"
"2-JKS023.61_FAMJKS3166",19,9.31359178935411,6.76867469879518,106,"2-JKS023.61","FAMJKS3166",2004,"Spring"
"2-JKS023.61_FAMJKS3320",15,6.06074469707595,4.19146183699871,180,"2-JKS023.61","FAMJKS3320",2004,"Fall"
"2-JKS023.61_FAMJKS374",6,2.60307332417094,1.76274408156212,101,"2-JKS023.61","FAMJKS374",1995,"Fall"
"2-JKS023.61_FAMJKS4339",9,5.07040972237575,4.46554364471669,108,"2-JKS023.61","FAMJKS4339",2007,"Spring"
"2-JKS023.61_FAMJKS4340",12,6.16318649560769,4.61398117918187,155,"2-JKS023.61","FAMJKS4340",2006,"Fall"
"2-JKS023.61_FAMJKS4567",9,5.11155440006532,3.97242284963887,110,"2-JKS023.61","FAMJKS4567",2007,"Fall"
"2-JKS023.61_FAMJKS528",7,4.95181195294864,4.54145180483935,107,"2-JKS023.61","FAMJKS528",1996,"Spring"
"2-JKS023.61_FAMJKS5522",11,7.69376015629793,5.94497354497354,106,"2-JKS023.61","FAMJKS5522",2008,"Fall"
"2-JKS023.61_FAMJKS735",3,2.29452004628532,2.03174603174603,160,"2-JKS023.61","FAMJKS735",1996,"Fall"
"2-JKS023.61_FAMJKS846",5,3.25705696703591,2.76166715585559,97,"2-JKS023.61","FAMJKS846",1997,"Spring"
"2-JKS023.61_FAMJKS873",6,2.58532501477584,1.88478260869565,102,"2-JKS023.61","FAMJKS873",1997,"Outside Sample Window"
