"Year","mean_jaccard","median_jaccard","sd_jaccard","n_comparisons"
2000,0.75,0.75,NA,1
2001,0.583333333333333,0.583333333333333,NA,1
1997,0.717592592592593,0.75,0.0813814621816988,3
2004,0.521739130434783,0.521739130434783,NA,1
1998,0.555555555555556,0.555555555555556,NA,1
1999,0.363636363636364,0.363636363636364,NA,1
1995,0.428571428571429,0.428571428571429,NA,1
2007,0.714285714285714,0.714285714285714,NA,1
1996,0.75,0.75,NA,1
2010,0.699638580255588,0.80952380952381,0.220290967985754,15
2017,0.58261367788222,0.813852813852814,0.370698663956616,6
2015,0.572303252303252,0.633333333333333,0.187515242999526,6
2011,0.420914902026111,0.520869565217391,0.180985612653291,6
2012,0.1875,0.1875,NA,1
2014,0.56125730994152,0.703216374269006,0.27382710756932,6
2016,0.266666666666667,0.266666666666667,NA,1
2013,0.521186241294937,0.720779220779221,0.32828644602382,6
2022,0.671926144540589,0.6875,0.101600620244913,3741
